image_name,tags
test_0,haze primary habitation road cultivation slash_burn
test_1,haze primary habitation road cultivation slash_burn
test_2,haze primary habitation road cultivation slash_burn
test_3,haze primary habitation road cultivation slash_burn
test_4,haze primary road cultivation slash_burn conventional_mine
test_5,haze primary habitation road cultivation slash_burn
test_6,haze primary habitation road cultivation slash_burn conventional_mine
test_7,haze primary habitation road cultivation slash_burn conventional_mine
test_8,haze primary habitation road cultivation slash_burn
test_9,haze primary road cultivation slash_burn
test_10,haze primary habitation road cultivation slash_burn conventional_mine blooming
test_11,haze primary habitation road cultivation slash_burn
test_12,haze primary habitation road cultivation slash_burn conventional_mine
test_13,haze primary road cultivation slash_burn
test_14,haze primary habitation road cultivation slash_burn conventional_mine
test_15,haze primary habitation road cultivation slash_burn
test_16,haze primary habitation road cultivation slash_burn
test_17,haze primary habitation road cultivation slash_burn conventional_mine
test_18,haze primary habitation road cultivation slash_burn
test_19,haze primary road cultivation slash_burn
test_20,haze primary habitation road cultivation slash_burn
test_21,haze primary habitation road cultivation slash_burn
test_22,haze primary habitation road cultivation slash_burn conventional_mine
test_23,haze primary habitation road cultivation slash_burn conventional_mine
test_24,haze primary habitation road cultivation slash_burn
test_25,haze primary habitation road cultivation slash_burn
test_26,haze primary habitation road cultivation slash_burn conventional_mine
test_27,haze primary habitation road cultivation slash_burn conventional_mine
test_28,haze primary habitation road cultivation slash_burn selective_logging
test_29,haze primary habitation road cultivation slash_burn
test_30,haze primary habitation road cultivation slash_burn
test_31,haze primary habitation road cultivation slash_burn conventional_mine
test_32,haze primary habitation road cultivation slash_burn
test_33,haze primary habitation road cultivation slash_burn conventional_mine
test_34,haze primary habitation road cultivation slash_burn conventional_mine
test_35,haze primary road cultivation slash_burn
test_36,haze primary habitation road cultivation slash_burn
test_37,haze primary habitation road cultivation slash_burn
test_38,haze primary habitation road cultivation slash_burn
test_39,haze primary road cultivation slash_burn
test_40,haze habitation road cultivation slash_burn conventional_mine
test_41,haze primary habitation road cultivation slash_burn
test_42,haze primary habitation road cultivation slash_burn
test_43,haze primary habitation road cultivation slash_burn conventional_mine
test_44,haze primary habitation road cultivation slash_burn
test_45,haze primary habitation road cultivation slash_burn
test_46,haze primary habitation road cultivation slash_burn conventional_mine
